Tipo,Cargo u oficio por entrevistados,NIVEL,PROGRAMA,MUNICIPIO,TOTAL_MATRICULADOS_2017,TOTAL_MATRICULADOS_2018,VARIACION_PORCENTUAL_2018_2017
ALTA DEMANDA,DESARROLLADOR,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,PEREIRA,195,574,1.9436
ALTA ROTACIÓN,DESARROLLADOR,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,PEREIRA,195,574,1.9436
CRÍTICO,DESARROLLADOR,TECNÓLOGO,TECNOLOGÍA EN SISTEMAS DE INFORMACIÓN,CALI,3407,3592,0.0543
ALTA DEMANDA,DESARROLLADOR,TECNÓLOGO,TECNOLOGÍA EN SISTEMAS DE INFORMACIÓN,CALI,3407,3592,0.0543
ALTA ROTACIÓN,DESARROLLADOR,TECNÓLOGO,TECNOLOGÍA EN SISTEMAS DE INFORMACIÓN,CALI,3407,3592,0.0543
CRÍTICO,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA MECATRÓNICA,BOGOTÁ,161,162,0.0062
ALTA DEMANDA,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA MECATRÓNICA,BOGOTÁ,161,162,0.0062
ALTA ROTACIÓN,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA MECATRÓNICA,BOGOTÁ,161,162,0.0062
CRÍTICO,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,BOGOTÁ,11772,10896,-0.0744
ALTA DEMANDA,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,BOGOTÁ,11772,10896,-0.0744
ALTA ROTACIÓN,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,BOGOTÁ,11772,10896,-0.0744
CRÍTICO,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,BARRANQUILLA,350,311,-0.1114
ALTA DEMANDA,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,BARRANQUILLA,350,311,-0.1114
ALTA ROTACIÓN,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,BARRANQUILLA,350,311,-0.1114
CRÍTICO,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BARRANQUILLA,3198,3163,-0.0109
ALTA DEMANDA,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BARRANQUILLA,3198,3163,-0.0109
ALTA ROTACIÓN,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BARRANQUILLA,3198,3163,-0.0109
CRÍTICO,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MEDELLÍN,8307,9279,0.117
ALTA DEMANDA,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MEDELLÍN,8307,9279,0.117
ALTA ROTACIÓN,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MEDELLÍN,8307,9279,0.117
CRÍTICO,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,CALI,4255,4464,0.0491
ALTA DEMANDA,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,CALI,4255,4464,0.0491
ALTA ROTACIÓN,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,CALI,4255,4464,0.0491
CRÍTICO,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,BUCARAMANGA,2787,2616,-0.0614
ALTA DEMANDA,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,BUCARAMANGA,2787,2616,-0.0614
ALTA ROTACIÓN,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,BUCARAMANGA,2787,2616,-0.0614
CRÍTICO,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
ALTA DEMANDA,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
ALTA ROTACIÓN,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
CRÍTICO,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,CALI,402,374,-0.0697
ALTA DEMANDA,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,CALI,402,374,-0.0697
ALTA ROTACIÓN,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,CALI,402,374,-0.0697
CRÍTICO,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BUCARAMANGA,3333,3525,0.0576
ALTA DEMANDA,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BUCARAMANGA,3333,3525,0.0576
ALTA ROTACIÓN,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BUCARAMANGA,3333,3525,0.0576
CRÍTICO,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
ALTA DEMANDA,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
ALTA ROTACIÓN,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
CRÍTICO,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,MEDELLÍN,498,628,0.261
ALTA DEMANDA,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,MEDELLÍN,498,628,0.261
ALTA ROTACIÓN,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,MEDELLÍN,498,628,0.261
CRÍTICO,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,ARMENIA,688,934,0.3576
ALTA DEMANDA,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,ARMENIA,688,934,0.3576
ALTA ROTACIÓN,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,ARMENIA,688,934,0.3576
CRÍTICO,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,ARMENIA,1304,1541,0.1817
ALTA DEMANDA,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,ARMENIA,1304,1541,0.1817
ALTA ROTACIÓN,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,ARMENIA,1304,1541,0.1817
CRÍTICO,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,PEREIRA,2795,2683,-0.0401
ALTA DEMANDA,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,PEREIRA,2795,2683,-0.0401
ALTA ROTACIÓN,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,PEREIRA,2795,2683,-0.0401
CRÍTICO,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,MANIZALES,236,304,0.2881
ALTA DEMANDA,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,MANIZALES,236,304,0.2881
ALTA ROTACIÓN,DESARROLLADOR,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,MANIZALES,236,304,0.2881
ALTA ROTACIÓN,INGENIERO DE CONTROL DOCUMENTAL,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
CRÍTICO,INGENIERO DE DATOS,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
CRÍTICO,DESARROLLADOR JUNIOR,TÉCNICO,TÉCNICO EN SISTEMAS,BOGOTÁ,0,0,0
ALTA DEMANDA,DESARROLLADOR JUNIOR,TÉCNICO,TÉCNICO EN SISTEMAS,BOGOTÁ,0,0,0
ALTA ROTACIÓN,DESARROLLADOR JUNIOR,TÉCNICO,TÉCNICO EN SISTEMAS,BOGOTÁ,0,0,0
CRÍTICO,DESARROLLADOR JUNIOR,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,BOGOTÁ,14217,15000,0.0551
ALTA DEMANDA,DESARROLLADOR JUNIOR,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,BOGOTÁ,14217,15000,0.0551
ALTA ROTACIÓN,DESARROLLADOR JUNIOR,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,BOGOTÁ,14217,15000,0.0551
CRÍTICO,DESARROLLADOR JUNIOR,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,BOGOTÁ,1571,1542,-0.0185
ALTA DEMANDA,DESARROLLADOR JUNIOR,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,BOGOTÁ,1571,1542,-0.0185
ALTA ROTACIÓN,DESARROLLADOR JUNIOR,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,BOGOTÁ,1571,1542,-0.0185
CRÍTICO,DESARROLLADOR JUNIOR,TECNÓLOGO,TECNOLOGÍA EN DESARROLLO DE SISTEMAS INFORMÁTICOS,BUCARAMANGA,1210,1209,-0.0008
ALTA DEMANDA,DESARROLLADOR JUNIOR,TECNÓLOGO,TECNOLOGÍA EN DESARROLLO DE SISTEMAS INFORMÁTICOS,BUCARAMANGA,1210,1209,-0.0008
ALTA ROTACIÓN,DESARROLLADOR JUNIOR,TECNÓLOGO,TECNOLOGÍA EN DESARROLLO DE SISTEMAS INFORMÁTICOS,BUCARAMANGA,1210,1209,-0.0008
CRÍTICO,DESARROLLADOR JUNIOR,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,MANIZALES,1829,1291,-0.2941
ALTA DEMANDA,DESARROLLADOR JUNIOR,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,MANIZALES,1829,1291,-0.2941
ALTA ROTACIÓN,DESARROLLADOR JUNIOR,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,MANIZALES,1829,1291,-0.2941
CRÍTICO,DESARROLLADOR JUNIOR,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,PEREIRA,195,574,1.9436
ALTA DEMANDA,DESARROLLADOR JUNIOR,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,PEREIRA,195,574,1.9436
ALTA ROTACIÓN,DESARROLLADOR JUNIOR,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,PEREIRA,195,574,1.9436
CRÍTICO,DESARROLLADOR JUNIOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
ALTA DEMANDA,DESARROLLADOR JUNIOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
ALTA ROTACIÓN,DESARROLLADOR JUNIOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
CRÍTICO,DESARROLLADOR JUNIOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
ALTA DEMANDA,DESARROLLADOR JUNIOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
ALTA ROTACIÓN,DESARROLLADOR JUNIOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
CRÍTICO,DESARROLLADOR JUNIOR,UNIVERSITARIO,INGENIERÍA DE SOFTWARE,BUCARAMANGA,44,68,0.5455
ALTA DEMANDA,DESARROLLADOR JUNIOR,UNIVERSITARIO,INGENIERÍA DE SOFTWARE,BUCARAMANGA,44,68,0.5455
ALTA ROTACIÓN,DESARROLLADOR JUNIOR,UNIVERSITARIO,INGENIERÍA DE SOFTWARE,BUCARAMANGA,44,68,0.5455
CRÍTICO,DESARROLLADOR JUNIOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BUCARAMANGA,3333,3525,0.0576
ALTA DEMANDA,DESARROLLADOR JUNIOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BUCARAMANGA,3333,3525,0.0576
ALTA ROTACIÓN,DESARROLLADOR JUNIOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BUCARAMANGA,3333,3525,0.0576
CRÍTICO,DESARROLLADOR JUNIOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,PEREIRA,2795,2683,-0.0401
ALTA DEMANDA,DESARROLLADOR JUNIOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,PEREIRA,2795,2683,-0.0401
ALTA ROTACIÓN,DESARROLLADOR JUNIOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,PEREIRA,2795,2683,-0.0401
CRÍTICO,DESARROLLADOR JUNIOR,UNIVERSITARIO,INGENIERÍA DE SOFTWARE,BOGOTÁ,1362,2517,0.848
ALTA DEMANDA,DESARROLLADOR JUNIOR,UNIVERSITARIO,INGENIERÍA DE SOFTWARE,BOGOTÁ,1362,2517,0.848
ALTA ROTACIÓN,DESARROLLADOR JUNIOR,UNIVERSITARIO,INGENIERÍA DE SOFTWARE,BOGOTÁ,1362,2517,0.848
CRÍTICO,DESARROLLADOR SENIOR,TÉCNICO,TÉCNICO EN SISTEMAS,BOGOTÁ,0,0,0
ALTA DEMANDA,DESARROLLADOR SENIOR,TÉCNICO,TÉCNICO EN SISTEMAS,BOGOTÁ,0,0,0
ALTA ROTACIÓN,DESARROLLADOR SENIOR,TÉCNICO,TÉCNICO EN SISTEMAS,BOGOTÁ,0,0,0
CRÍTICO,DESARROLLADOR SENIOR,TÉCNICO,TÉCNICO EN SISTEMAS,MEDELLÍN,909,1160,0.2761
ALTA DEMANDA,DESARROLLADOR SENIOR,TÉCNICO,TÉCNICO EN SISTEMAS,MEDELLÍN,909,1160,0.2761
ALTA ROTACIÓN,DESARROLLADOR SENIOR,TÉCNICO,TÉCNICO EN SISTEMAS,MEDELLÍN,909,1160,0.2761
CRÍTICO,DESARROLLADOR SENIOR,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,MEDELLÍN,581,1082,0.8623
ALTA DEMANDA,DESARROLLADOR SENIOR,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,MEDELLÍN,581,1082,0.8623
ALTA ROTACIÓN,DESARROLLADOR SENIOR,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,MEDELLÍN,581,1082,0.8623
CRÍTICO,DESARROLLADOR SENIOR,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,BOGOTÁ,14217,15000,0.0551
ALTA DEMANDA,DESARROLLADOR SENIOR,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,BOGOTÁ,14217,15000,0.0551
ALTA ROTACIÓN,DESARROLLADOR SENIOR,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,BOGOTÁ,14217,15000,0.0551
CRÍTICO,DESARROLLADOR SENIOR,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,BOGOTÁ,1571,1542,-0.0185
ALTA DEMANDA,DESARROLLADOR SENIOR,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,BOGOTÁ,1571,1542,-0.0185
ALTA ROTACIÓN,DESARROLLADOR SENIOR,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,BOGOTÁ,1571,1542,-0.0185
CRÍTICO,DESARROLLADOR SENIOR,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,MEDELLÍN,6178,4750,-0.2311
ALTA DEMANDA,DESARROLLADOR SENIOR,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,MEDELLÍN,6178,4750,-0.2311
ALTA ROTACIÓN,DESARROLLADOR SENIOR,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,MEDELLÍN,6178,4750,-0.2311
CRÍTICO,DESARROLLADOR SENIOR,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,PEREIRA,195,574,1.9436
ALTA DEMANDA,DESARROLLADOR SENIOR,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,PEREIRA,195,574,1.9436
ALTA ROTACIÓN,DESARROLLADOR SENIOR,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,PEREIRA,195,574,1.9436
CRÍTICO,DESARROLLADOR SENIOR,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,MANIZALES,1829,1291,-0.2941
ALTA DEMANDA,DESARROLLADOR SENIOR,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,MANIZALES,1829,1291,-0.2941
ALTA ROTACIÓN,DESARROLLADOR SENIOR,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,MANIZALES,1829,1291,-0.2941
CRÍTICO,DESARROLLADOR SENIOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
ALTA DEMANDA,DESARROLLADOR SENIOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
ALTA ROTACIÓN,DESARROLLADOR SENIOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
CRÍTICO,DESARROLLADOR SENIOR,UNIVERSITARIO,INGENIERÍA EN INFORMÁTICA,BOGOTÁ,289,304,0.0519
ALTA DEMANDA,DESARROLLADOR SENIOR,UNIVERSITARIO,INGENIERÍA EN INFORMÁTICA,BOGOTÁ,289,304,0.0519
ALTA ROTACIÓN,DESARROLLADOR SENIOR,UNIVERSITARIO,INGENIERÍA EN INFORMÁTICA,BOGOTÁ,289,304,0.0519
CRÍTICO,DESARROLLADOR SENIOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
ALTA DEMANDA,DESARROLLADOR SENIOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
ALTA ROTACIÓN,DESARROLLADOR SENIOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
CRÍTICO,DESARROLLADOR SENIOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,PEREIRA,2795,2683,-0.0401
ALTA DEMANDA,DESARROLLADOR SENIOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,PEREIRA,2795,2683,-0.0401
ALTA ROTACIÓN,DESARROLLADOR SENIOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,PEREIRA,2795,2683,-0.0401
CRÍTICO,DESARROLLADOR SENIOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MEDELLÍN,8307,9279,0.117
ALTA DEMANDA,DESARROLLADOR SENIOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MEDELLÍN,8307,9279,0.117
ALTA ROTACIÓN,DESARROLLADOR SENIOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MEDELLÍN,8307,9279,0.117
CRÍTICO,DESARROLLADOR SENIOR,UNIVERSITARIO,INGENIERÍA EN INFORMÁTICA,MEDELLÍN,1267,2244,0.7711
ALTA DEMANDA,DESARROLLADOR SENIOR,UNIVERSITARIO,INGENIERÍA EN INFORMÁTICA,MEDELLÍN,1267,2244,0.7711
ALTA ROTACIÓN,DESARROLLADOR SENIOR,UNIVERSITARIO,INGENIERÍA EN INFORMÁTICA,MEDELLÍN,1267,2244,0.7711
CRÍTICO,DIRECTOR DE DESARROLLO Y/O OPERACIONES,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,MEDELLÍN,581,1082,0.8623
ALTA DEMANDA,DIRECTOR DE DESARROLLO Y/O OPERACIONES,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,MEDELLÍN,581,1082,0.8623
ALTA ROTACIÓN,DIRECTOR DE DESARROLLO Y/O OPERACIONES,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,MEDELLÍN,581,1082,0.8623
CRÍTICO,DIRECTOR DE DESARROLLO Y/O OPERACIONES,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,BOGOTÁ,1571,1542,-0.0185
ALTA DEMANDA,DIRECTOR DE DESARROLLO Y/O OPERACIONES,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,BOGOTÁ,1571,1542,-0.0185
ALTA ROTACIÓN,DIRECTOR DE DESARROLLO Y/O OPERACIONES,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,BOGOTÁ,1571,1542,-0.0185
CRÍTICO,DIRECTOR DE DESARROLLO Y/O OPERACIONES,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,CALI,34,45,0.3235
ALTA DEMANDA,DIRECTOR DE DESARROLLO Y/O OPERACIONES,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,CALI,34,45,0.3235
ALTA ROTACIÓN,DIRECTOR DE DESARROLLO Y/O OPERACIONES,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,CALI,34,45,0.3235
CRÍTICO,DIRECTOR DE DESARROLLO Y/O OPERACIONES,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,BARRANQUILLA,333,220,-0.3393
ALTA DEMANDA,DIRECTOR DE DESARROLLO Y/O OPERACIONES,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,BARRANQUILLA,333,220,-0.3393
ALTA ROTACIÓN,DIRECTOR DE DESARROLLO Y/O OPERACIONES,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,BARRANQUILLA,333,220,-0.3393
CRÍTICO,DIRECTOR DE DESARROLLO Y/O OPERACIONES,UNIVERSITARIO,INGENIERÍA MECATRÓNICA,BOGOTÁ,161,162,0.0062
ALTA DEMANDA,DIRECTOR DE DESARROLLO Y/O OPERACIONES,UNIVERSITARIO,INGENIERÍA MECATRÓNICA,BOGOTÁ,161,162,0.0062
ALTA ROTACIÓN,DIRECTOR DE DESARROLLO Y/O OPERACIONES,UNIVERSITARIO,INGENIERÍA MECATRÓNICA,BOGOTÁ,161,162,0.0062
CRÍTICO,DIRECTOR DE DESARROLLO Y/O OPERACIONES,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MEDELLÍN,8307,9279,0.117
ALTA DEMANDA,DIRECTOR DE DESARROLLO Y/O OPERACIONES,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MEDELLÍN,8307,9279,0.117
ALTA ROTACIÓN,DIRECTOR DE DESARROLLO Y/O OPERACIONES,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MEDELLÍN,8307,9279,0.117
CRÍTICO,DIRECTOR DE DESARROLLO Y/O OPERACIONES,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,CALI,4255,4464,0.0491
ALTA DEMANDA,DIRECTOR DE DESARROLLO Y/O OPERACIONES,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,CALI,4255,4464,0.0491
ALTA ROTACIÓN,DIRECTOR DE DESARROLLO Y/O OPERACIONES,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,CALI,4255,4464,0.0491
CRÍTICO,DIRECTOR DE DESARROLLO Y/O OPERACIONES,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BUCARAMANGA,3333,3525,0.0576
ALTA DEMANDA,DIRECTOR DE DESARROLLO Y/O OPERACIONES,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BUCARAMANGA,3333,3525,0.0576
ALTA ROTACIÓN,DIRECTOR DE DESARROLLO Y/O OPERACIONES,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BUCARAMANGA,3333,3525,0.0576
CRÍTICO,DIRECTOR DE DESARROLLO Y/O OPERACIONES,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BARRANQUILLA,3198,3163,-0.0109
ALTA DEMANDA,DIRECTOR DE DESARROLLO Y/O OPERACIONES,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BARRANQUILLA,3198,3163,-0.0109
ALTA ROTACIÓN,DIRECTOR DE DESARROLLO Y/O OPERACIONES,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BARRANQUILLA,3198,3163,-0.0109
CRÍTICO,DIRECTOR DE DESARROLLO Y/O OPERACIONES,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
ALTA DEMANDA,DIRECTOR DE DESARROLLO Y/O OPERACIONES,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
ALTA ROTACIÓN,DIRECTOR DE DESARROLLO Y/O OPERACIONES,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
CRÍTICO,DIRECTOR DE DESARROLLO Y/O OPERACIONES,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
ALTA DEMANDA,DIRECTOR DE DESARROLLO Y/O OPERACIONES,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
ALTA ROTACIÓN,DIRECTOR DE DESARROLLO Y/O OPERACIONES,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
CRÍTICO,DIRECTOR DE DESARROLLO Y/O OPERACIONES,POSGRADO,ESPECIALIZACIÓN EN DESARROLLO DE SOFTWARE,MEDELLÍN,43,47,0.093
ALTA DEMANDA,DIRECTOR DE DESARROLLO Y/O OPERACIONES,POSGRADO,ESPECIALIZACIÓN EN DESARROLLO DE SOFTWARE,MEDELLÍN,43,47,0.093
ALTA ROTACIÓN,DIRECTOR DE DESARROLLO Y/O OPERACIONES,POSGRADO,ESPECIALIZACIÓN EN DESARROLLO DE SOFTWARE,MEDELLÍN,43,47,0.093
CRÍTICO,DIRECTOR DE SEGURIDAD INFORMÁTICA,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MEDELLÍN,8307,9279,0.117
CRÍTICO,DIRECTOR DE SEGURIDAD INFORMÁTICA,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BUCARAMANGA,3333,3525,0.0576
CRÍTICO,DISEÑADOR WEB,TÉCNICO,TÉCNICO EN SISTEMAS,BOGOTÁ,0,0,0
ALTA DEMANDA,DISEÑADOR WEB,TÉCNICO,TÉCNICO EN SISTEMAS,BOGOTÁ,0,0,0
ALTA ROTACIÓN,DISEÑADOR WEB,TÉCNICO,TÉCNICO EN SISTEMAS,BOGOTÁ,0,0,0
CRÍTICO,DISEÑADOR WEB,TÉCNICO,AUXILIAR DE SISTEMAS INFORMÁTICOS,CALI,0,0,0
ALTA DEMANDA,DISEÑADOR WEB,TÉCNICO,AUXILIAR DE SISTEMAS INFORMÁTICOS,CALI,0,0,0
ALTA ROTACIÓN,DISEÑADOR WEB,TÉCNICO,AUXILIAR DE SISTEMAS INFORMÁTICOS,CALI,0,0,0
CRÍTICO,DISEÑADOR WEB,TECNÓLOGO,TECNOLOGÍA DE SOFTWARE,CALI,34,45,0.3235
